p	w_c_p	w_c_s	elapsed	serial
2	13.7283	13.7283	015.33	006.46
3	6.87257	13.7283	008.39	006.46
4	4.64923	13.7283	006.18	006.46
5	3.57231	13.7283	005.12	006.46
6	2.94567	13.7283	004.52	006.46
7	2.41254	13.7283	004.02	006.46
8	2.20584	13.7283	003.83	006.46
9	2.12705	13.7283	003.76	006.46
10	1.9959	13.7283	003.65	006.46
11	1.64198	13.7283	003.35	006.46
12	1.60624	13.7283	003.30	006.46
13	1.43488	13.7283	003.18	006.46
14	1.32699	13.7283	003.05	006.46
15	1.2109	13.7283	002.98	006.46
16	1.31525	13.7283	003.06	006.46
17	1.17638	13.7283	002.97	006.46
18	1.03624	13.7283	002.87	006.46
19	1.04659	13.7283	002.89	006.46
20	1.00958	13.7283	002.85	006.46
