#Clock frequency is approx. 2592.0 MHz
#Memory mountain (MB/sec)
#	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	
128m	13069	7623	5028	3665	2874	2444	2114	1828	1701	1582	1495	1407	1354	1290	1258	
64m	12609	7649	5058	3694	2962	2477	2133	1909	1712	1600	1510	1425	1369	1329	1282	
32m	13215	8009	5350	3823	3064	2528	2241	2011	1807	1674	1540	1475	1404	1358	1307	
16m	14113	8468	5719	4316	3319	2676	2375	2148	1948	1809	1714	1651	1530	1509	1427	
8m	14089	8879	6580	4765	3953	3283	2858	2636	2380	2317	2162	2038	2040	1978	1925	
4m	19406	14617	11644	7712	6592	5119	4588	3894	3931	4007	4047	3944	4120	4317	4370	
2m	23096	17693	14725	11824	10213	8768	7658	6759	6476	6256	6048	5859	5727	5596	5489	
1024k	23910	18072	15158	12268	10240	8809	7706	6771	6467	6263	6036	5861	5714	5806	5690	
512k	24892	19131	16138	13004	10880	9315	8182	7234	6945	6712	6597	6381	6331	6347	6253	
256k	25976	19893	17447	14733	12463	10858	9437	8335	8253	8110	8276	8194	8605	8426	8847	
128k	27834	22410	21972	20516	18197	16059	14003	12168	12328	12363	11752	11975	12110	11768	12138	
64k	28958	23068	22595	20575	18013	15237	13333	12302	11452	11878	11506	11527	11900	13246	24406	
32k	36297	35039	33702	32869	31338	30638	29593	28850	28418	29484	33561	32459	31708	27321	25500	
16k	35567	34138	32615	31043	29484	33066	27077	26022	29120	29899	27568	28080	28648	26602	25732	
