p	w_c_p	w_c_s	elapsed	serial
1	6.2707	6.2707	006.30	002.33
2	3.04162	6.2707	003.07	002.33
3	2.39203	6.2707	002.42	002.33
4	2.04683	6.2707	002.08	002.33
5	1.90049	6.2707	001.93	002.33
6	1.79354	6.2707	001.82	002.33
7	1.63306	6.2707	001.66	002.33
8	1.67634	6.2707	001.71	002.33
9	1.56835	6.2707	001.60	002.33
10	1.63406	6.2707	001.67	002.33
11	1.56189	6.2707	001.59	002.33
12	1.67225	6.2707	001.70	002.33
13	1.59137	6.2707	001.62	002.33
14	1.72129	6.2707	001.75	002.33
15	1.65553	6.2707	001.69	002.33
16	1.73829	6.2707	001.77	002.33
17	1.71171	6.2707	001.75	002.33
18	1.77302	6.2707	001.81	002.33
19	1.71107	6.2707	001.74	002.33
20	1.85885	6.2707	001.89	002.33
