p	wall_clock_p	elapsed	serial	wall_clock_s
1	0,473422	003,85	003,92	0,473422
2	0,523927	003,89	003,92	0,473422
3	0,346705	004,16	003,92	0,473422
4	0,309912	004,15	003,92	0,473422
5	0,380968	003,75	003,92	0,473422
6	0,40593	003,79	003,92	0,473422
7	0,286087	004,13	003,92	0,473422
8	0,404084	003,79	003,92	0,473422
9	0,282068	004,12	003,92	0,473422
10	0,280854	004,12	003,92	0,473422
11	0,281168	004,13	003,92	0,473422
12	0,279851	004,13	003,92	0,473422
13	0,283171	004,13	003,92	0,473422
14	0,281497	004,13	003,92	0,473422
15	0,284172	004,12	003,92	0,473422
16	0,406342	003,80	003,92	0,473422
17	0,400789	003,80	003,92	0,473422
18	0,282346	004,14	003,92	0,473422
19	0,283044	004,14	003,92	0,473422
20	0,28114	004,12	003,92	0,473422




p	wall_clock_p	elapsed	serial	wall_clock_s
1	0,473997	002,39	002,37	0,473997
2	0,245017	001,10	002,37	0,473997
3	0,215336	000,81	002,37	0,473997
4	0,171267	000,63	002,37	0,473997
5	0,1686	000,56	002,37	0,473997
6	0,153611	000,48	002,37	0,473997
7	0,155228	000,46	002,37	0,473997
8	0,141456	000,41	002,37	0,473997
9	0,144472	000,42	002,37	0,473997
10	0,139636	000,39	002,37	0,473997
11	0,140029	000,40	002,37	0,473997
12	0,137668	000,38	002,37	0,473997
13	0,137994	000,40	002,37	0,473997
14	0,137197	000,39	002,37	0,473997
15	0,135722	000,40	002,37	0,473997
16	0,142124	000,40	002,37	0,473997
17	0,135665	000,40	002,37	0,473997
18	0,136753	000,40	002,37	0,473997
19	0,136232	000,45	002,37	0,473997
20	0,13805	000,45	002,37	0,473997



